,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,235425.0,,10.6
1,2018,232483.3,,10.4
2,2017,223279.7,2309.8,10.7
3,2016,214087.5,2419.2,14.5
4,2015,202132.2,2336.0,13.9
5,2014,186487.5,2207.6,12.8
6,2013,176714.6,2248.0,10.3
7,2012,171125.0,2401.1,12.8
