,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,242100.0,,10.3
1,2018,237741.7,,10.9
2,2017,226500.0,2450.2,11.5
3,2016,210891.7,2487.7,12.1
4,2015,190799.9,2388.9,10.9
5,2014,176104.2,2464.1,13.7
6,2013,159003.0,2699.7,13.3
7,2012,155568.4,3001.7,12.6
