,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,231600.0,,8.6
1,2018,219975.0,,9.5
2,2017,197381.2,2128.2,9.2
3,2016,181966.7,2245.5,10.7
4,2015,171664.6,2283.7,11.4
5,2014,166485.4,2383.9,10.9
6,2013,162566.7,2469.4,11.0
7,2012,163793.8,2743.1,11.4
