,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,354850.0,,8.2
1,2018,344341.7,,8.6
2,2017,319009.5,1784.3,9.9
3,2016,302138.2,1780.7,9.4
4,2015,293862.5,1886.6,11.2
5,2014,287183.3,1994.3,11.3
6,2013,276825.0,2170.0,11.1
7,2012,277850.0,2336.6,9.3
