,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,242725.0,,16.6
1,2018,236075.0,,18.6
2,2017,228311.2,4725.2,19.7
3,2016,223868.6,4628.1,17.8
4,2015,218324.8,4368.7,19.7
5,2014,212145.5,4140.0,20.0
6,2013,209368.3,4406.0,21.7
7,2012,213086.0,4163.8,20.4
