,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,353250.0,,10.2
1,2018,352650.0,,10.9
2,2017,342466.7,1997.9,10.6
3,2016,321847.8,2036.0,9.8
4,2015,307616.7,2051.7,9.1
5,2014,299093.7,2167.0,8.6
6,2013,297629.2,2242.4,11.3
7,2012,295753.0,2432.0,10.3
