,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,193300.0,,19.6
1,2018,189525.0,,18.3
2,2017,179843.6,3019.6,18.5
3,2016,170398.9,3045.8,21.1
4,2015,162205.3,3143.6,19.1
5,2014,155595.8,3180.9,22.1
6,2013,150070.8,3002.8,22.5
7,2012,150506.2,3070.6,22.0
