,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,345050.0,,8.9
1,2018,340075.0,,12.2
2,2017,335197.9,1983.8,11.3
3,2016,294063.9,2027.2,11.4
4,2015,280227.1,2141.2,11.8
5,2014,271733.2,2398.5,11.3
6,2013,264422.9,2701.0,13.5
7,2012,254599.9,2827.4,13.6
