,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,240300.0,,10.5
1,2018,230666.7,,10.4
2,2017,210941.5,2579.9,11.5
3,2016,185026.6,2561.3,9.6
4,2015,163734.0,2522.1,10.3
5,2014,145385.2,2800.2,11.8
6,2013,137198.9,2897.1,11.0
7,2012,136206.2,3018.5,12.2
