,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,285950.0,,13.1
1,2018,276375.0,,14.5
2,2017,259769.7,2909.0,15.2
3,2016,233993.3,3106.6,13.6
4,2015,213051.1,3095.6,15.3
5,2014,199532.3,3201.2,17.1
6,2013,194066.7,3444.2,18.6
7,2012,188889.0,3724.3,17.2
