,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,445600.0,,8.6
1,2018,413566.7,,9.9
2,2017,360849.9,3478.1,10.9
3,2016,323058.4,3805.7,11.0
4,2015,287909.8,3770.5,11.4
5,2014,269129.2,3984.7,12.0
6,2013,253055.8,4005.9,12.0
7,2012,248459.4,3987.2,11.6
