,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,320650.0,,8.0
1,2018,321091.7,,7.8
2,2017,310531.1,2722.5,7.6
3,2016,291711.6,2800.7,7.1
4,2015,281243.8,2847.9,9.6
5,2014,273655.4,2964.8,9.8
6,2013,258968.1,3134.5,10.3
7,2012,249328.6,3235.4,9.9
