,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,168975.0,,15.9
1,2018,165741.7,,17.3
2,2017,158150.2,2202.7,17.1
3,2016,158677.0,2401.5,18.0
4,2015,154400.0,2449.2,14.5
5,2014,148155.4,2387.1,20.6
6,2013,145017.7,2459.3,17.3
7,2012,147068.8,2716.9,16.7
