,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,322150.0,,13.7
1,2018,320716.7,,13.7
2,2017,311648.3,2920.4,13.4
3,2016,287074.8,3110.4,13.0
4,2015,251950.2,3279.4,16.2
5,2014,223368.5,3391.6,16.7
6,2013,213059.5,3567.1,14.9
7,2012,195343.8,3763.2,15.3
