,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,187075.0,,11.6
1,2018,180525.0,,11.4
2,2017,161565.8,2815.9,11.7
3,2016,143370.8,2939.0,11.8
4,2015,132412.4,2982.9,13.5
5,2014,126687.4,3016.3,14.6
6,2013,122059.3,3212.7,11.6
7,2012,122568.8,3373.3,15.2
