,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,321725.0,,6.1
1,2018,303858.3,,6.6
2,2017,289366.8,1580.5,7.2
3,2016,267460.2,1722.1,6.4
4,2015,249529.2,1965.6,7.3
5,2014,241522.9,2162.9,7.2
6,2013,234616.7,2522.4,9.0
7,2012,225281.2,2641.9,8.1
