,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,286300.0,,13.7
1,2018,287391.7,,13.4
2,2017,275597.5,3001.5,13.2
3,2016,266427.9,3192.8,13.8
4,2015,241844.0,3253.5,14.7
5,2014,208076.9,3422.1,16.4
6,2013,187192.0,3663.5,16.8
7,2012,178437.4,3771.7,17.0
