,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,195975.0,,13.4
1,2018,187716.7,,12.6
2,2017,183541.7,3332.6,12.8
3,2016,176928.8,3464.8,14.6
4,2015,166272.8,3347.5,14.2
5,2014,150022.2,3441.0,17.3
6,2013,143480.2,3727.0,14.0
7,2012,144162.6,3906.7,18.0
