,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,434075.0,,11.1
1,2018,406841.7,,13.4
2,2017,345391.7,1870.9,12.7
3,2016,298211.7,1913.3,11.9
4,2015,275691.7,1986.8,14.2
5,2014,252504.2,2101.8,14.0
6,2013,250124.2,2214.5,14.5
7,2012,254625.0,2323.3,17.2
