,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,474350.0,,8.7
1,2018,463458.3,,10.6
2,2017,439328.2,1795.0,11.2
3,2016,400950.0,1940.4,9.6
4,2015,368541.5,2078.3,11.5
5,2014,352143.2,2252.7,13.6
6,2013,342087.6,2452.6,11.9
7,2012,327275.0,2563.8,11.3
