,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,194475.0,,15.7
1,2018,190058.3,,14.4
2,2017,176792.4,2354.9,13.5
3,2016,162773.2,2438.3,15.2
4,2015,155687.5,2428.1,19.5
5,2014,147116.7,2479.4,20.0
6,2013,142025.0,2584.9,20.0
7,2012,146035.9,2800.4,17.9
