,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,220825.0,,16.0
1,2018,209116.7,,15.0
2,2017,194738.3,3481.5,15.3
3,2016,184173.3,3479.8,16.2
4,2015,173377.4,3455.9,16.3
5,2014,166954.2,3607.1,17.8
6,2013,162181.0,3778.9,16.7
7,2012,161997.5,3955.8,16.2
