,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,272375.0,,12.0
1,2018,263416.7,,11.5
2,2017,241666.7,3592.1,11.3
3,2016,210435.4,3513.9,14.9
4,2015,188373.8,3591.5,14.7
5,2014,176295.8,3679.1,17.3
6,2013,167633.3,3782.3,18.1
7,2012,163706.2,4014.6,18.6
