,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,308050.0,,9.8
1,2018,309383.3,,10.3
2,2017,292754.2,2001.1,10.5
3,2016,275274.2,2089.1,11.4
4,2015,268191.7,2085.5,10.9
5,2014,258605.4,2142.8,10.2
6,2013,245515.6,2272.2,10.4
7,2012,241365.1,2371.1,10.6
