,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,192850.0,,12.4
1,2018,186591.7,,11.1
2,2017,173215.1,3364.2,11.4
3,2016,158762.4,3322.6,13.0
4,2015,149687.4,3358.6,9.8
5,2014,144957.5,3352.9,10.4
6,2013,140922.9,3571.1,13.7
7,2012,140799.6,3768.0,15.2
