,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,233850.0,,9.7
1,2018,234691.7,,11.3
2,2017,236482.9,2479.1,12.4
3,2016,242995.4,2561.8,11.1
4,2015,252261.6,2598.3,10.7
5,2014,240958.0,2413.1,9.7
6,2013,224592.0,2394.8,9.9
7,2012,195748.4,2284.2,11.4
