,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,674825.0,,9.2
1,2018,659575.0,,10.3
2,2017,645574.5,3491.0,10.6
3,2016,598427.1,3454.3,9.3
4,2015,558743.8,4089.6,10.9
5,2014,521404.1,3360.2,10.8
6,2013,486977.1,3438.0,11.1
7,2012,446709.4,3592.6,13.8
