,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,206125.0,,11.8
1,2018,199633.3,,11.2
2,2017,190533.3,1962.7,10.9
3,2016,181278.9,2055.1,11.1
4,2015,173690.8,2128.6,12.3
5,2014,172493.8,2245.5,12.5
6,2013,170762.5,2394.2,12.4
7,2012,172039.8,2522.2,13.9
