,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,332000.0,,10.3
1,2018,327608.3,,9.7
2,2017,318374.3,2968.7,10.3
3,2016,305331.2,3084.9,11.7
4,2015,295016.7,2996.2,11.9
5,2014,273075.0,2823.0,12.0
6,2013,265964.6,2869.2,14.5
7,2012,252393.8,2874.7,13.4
