,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,327950.0,,13.0
1,2018,328433.3,,13.7
2,2017,291614.7,3168.3,13.2
3,2016,270207.8,3260.9,10.1
4,2015,255227.1,3372.5,13.0
5,2014,212165.2,3263.1,17.0
6,2013,166655.8,3441.4,17.4
7,2012,139950.0,3422.7,15.8
