,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,278350.0,,9.7
1,2018,266825.0,,10.2
2,2017,252945.8,1602.5,8.6
3,2016,242033.3,1693.4,9.6
4,2015,236352.0,1567.0,10.7
5,2014,233364.6,1653.6,9.3
6,2013,231145.8,2338.1,8.7
7,2012,231043.8,2643.0,11.2
