,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,181675.0,,7.5
1,2018,179833.3,,14.7
2,2017,166589.5,3213.9,14.3
3,2016,156810.3,3231.3,11.2
4,2015,149537.2,3149.3,14.2
5,2014,143840.2,3109.8,12.1
6,2013,135108.3,3302.4,13.2
7,2012,136997.5,3512.8,14.0
