,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,172075.0,,11.9
1,2018,166408.3,,12.7
2,2017,149441.7,2716.6,12.9
3,2016,137363.5,2897.0,13.7
4,2015,129884.3,2913.5,13.6
5,2014,125016.8,3066.7,15.6
6,2013,120737.5,3215.8,13.7
7,2012,123737.5,3507.9,15.4
