,Year,Median Listing Price,Total Crime Rate,Poverty Percent
0,2019,335550.0,,11.5
1,2018,322925.0,,11.7
2,2017,286618.8,1861.8,11.5
3,2016,255048.1,1978.1,11.1
4,2015,229620.4,1966.6,12.3
5,2014,205720.5,2072.4,12.4
6,2013,193537.1,2089.5,12.9
7,2012,187703.0,2204.4,14.4
