state,year,pop_estimate,pop_change,births,deaths,international_mig,domestic_mig,net_mig,natural_inc,r_birth,r_death,r_natural_inc,r_international_mig,r_domestic_mig,r_net_mig
New York,2012,19574549,76035,239922,146900,90870,-107485,-16615,93022,12.28068555,7.519246699,4.761438846,4.651286233,-5.501744258,-0.850458025
New York,2013,19628043,53494,239872,152576,78677,-111926,-33249,87296,12.23755817,7.7839751,4.453583069,4.013867246,-5.710132636,-1.69626539
New York,2014,19656330,28287,237032,148844,85344,-145183,-59839,88188,12.06749564,7.577771446,4.489724196,4.344933799,-7.391386901,-3.046453102
New York,2015,19661411,5081,239363,153820,85244,-165895,-80651,85543,12.17582668,7.824457667,4.351369017,4.336159598,-8.438684206,-4.102524608
New York,2016,19641589,-19822,235826,151568,88905,-193186,-104281,84258,12.00040709,7.712795461,4.287611633,4.524082131,-9.830598173,-5.306516042
New York,2017,19590719,-50870,230364,160681,67949,-188585,-120636,69683,11.74358643,8.191259102,3.552327332,3.463930799,-9.613760169,-6.14982937
New York,2018,19542209,-48510,227099,165728,70375,-180306,-109931,61371,11.60654271,8.470002551,3.136540154,3.596715278,-9.215052858,-5.61833758
North Carolina,2010,9574293,38557,29914,18663,4656,20593,25249,11251,0,0,0,0,0,0
North Carolina,2011,9656754,82461,121036,79941,10029,30724,40753,41095,12.58756219,8.313743916,4.273818269,1.043000935,3.195249848,4.238250783
North Carolina,2012,9749123,92369,119573,79506,21892,29749,51641,40067,12.32338018,8.194012566,4.129367614,2.25622372,3.065978415,5.322202135
North Carolina,2013,9843599,94476,119381,84316,19502,39304,58806,35065,12.18625978,8.606869428,3.579390347,1.990739214,4.012102045,6.002841259
North Carolina,2014,9933944,90345,120194,83478,18228,34784,53012,36716,12.15459372,8.441695715,3.712898008,1.84330278,3.517524902,5.360827682
North Carolina,2015,10033079,99135,120832,88440,21672,44664,66336,32392,12.10315629,8.858606513,3.244549776,2.170779289,4.473776587,6.644555876
North Carolina,2016,10156679,123600,120839,89161,20960,70785,91745,31678,11.97032674,8.832300021,3.138026716,2.076300271,7.011971119,9.08827139
North Carolina,2017,10270800,114121,120077,91567,20640,64795,85435,28510,11.75641889,8.965080811,2.79133808,2.020807364,6.343905677,8.364713042
North Carolina,2018,10383620,112820,118784,93060,20035,66991,87026,25724,11.50204169,9.011146283,2.490895411,1.940020586,6.486843978,8.426864565
North Dakota,2010,674710,2134,2338,1496,434,813,1247,842,0,0,0,0,0,0
North Dakota,2011,685136,10426,9211,6054,1077,5991,7068,3157,13.54712225,8.903949418,4.64317283,1.584002894,8.811291867,10.39529476
North Dakota,2012,701116,15980,9873,5935,1137,10571,11708,3938,14.2441634,8.562656718,5.681506681,1.640394387,15.25119531,16.8915897
North Dakota,2013,721999,20883,10252,6224,1096,15341,16437,4028,14.40783071,8.747009202,5.660821508,1.540283111,21.55974746,23.10003057
North Dakota,2014,737382,15383,10980,6210,787,9531,10318,4770,15.04747561,8.510457516,6.537018092,1.078539463,13.06170219,14.14024165
North Dakota,2015,754022,16640,11404,6348,2068,9344,11412,5056,15.29297226,8.512783927,6.780188333,2.773225766,12.53047464,15.30370041
North Dakota,2016,754353,331,11333,6164,1409,-6287,-4878,5169,15.02676722,8.173033894,6.853733322,1.868235684,-8.336123312,-6.467887627
North Dakota,2017,755176,823,11182,6054,2659,-6997,-4338,5128,14.8152172,8.021044975,6.794172222,3.522953186,-9.27044131,-5.747488124
North Dakota,2018,760077,4901,10869,6213,2597,-2379,218,4656,14.3461191,8.200610723,6.145508374,3.427810405,-3.140069678,0.287740727
Ohio,2010,11539327,2570,34809,26552,3342,-8654,-5312,8257,0,0,0,0,0,0
Ohio,2011,11543463,4136,137927,110676,14680,-37755,-23075,27251,11.95063508,9.589482034,2.36115305,1.271943296,-3.271268335,-1.999325038
Ohio,2012,11548369,4906,137682,111412,17524,-38549,-21025,26270,11.92473599,9.649472593,2.275263392,1.517766109,-3.338756319,-1.82099021
Ohio,2013,11576576,28207,139089,114516,24116,-19895,4221,24573,12.02934753,9.904110042,2.125237487,2.085713069,-1.720652741,0.365060328
Ohio,2014,11602973,26397,139560,111897,20842,-21196,-354,27663,12.0416493,9.654803896,2.386845404,1.798309363,-1.828853529,-0.030544166
Ohio,2015,11617850,14877,139546,118280,24567,-30303,-5736,21266,12.01903998,10.18740809,1.831631894,2.115945675,-2.609985012,-0.494039337
Ohio,2016,11635003,17153,138674,117533,24390,-28034,-3644,21141,11.92748262,10.1091251,1.818357515,2.097807095,-2.411231,-0.313423905
Ohio,2017,11664129,29126,136206,118051,19421,-8133,11288,18155,11.69193771,10.13351055,1.558427155,1.667100732,-0.698137596,0.968963136
Ohio,2018,11689442,25313,134734,117359,20514,-12146,8368,17375,11.5386208,10.05062566,1.487995134,1.756819118,-1.040183533,0.716635584
Oklahoma,2010,3759632,8049,13148,8179,1215,1545,2760,4969,0,0,0,0,0,0
Oklahoma,2011,3787821,28189,52554,37673,6712,6626,13338,14881,13.92628745,9.982970414,3.943317037,1.778613262,1.755824117,3.534437379
Oklahoma,2012,3818600,30779,52346,36952,6622,8672,15294,15394,13.7636347,9.716001783,4.047632914,1.741160527,2.280178812,4.02133934
Oklahoma,2013,3853205,34605,53345,38616,5678,13996,19674,14729,13.9067664,10.06699206,3.839774343,1.480225319,3.648685023,5.128910341
Oklahoma,2014,3878367,25162,53079,38623,6538,4275,10813,14456,13.73045482,9.990982429,3.739472387,1.691247265,1.105855316,2.797102582
Oklahoma,2015,3909831,31464,53529,39728,9408,8324,17732,13801,13.74618365,10.20210323,3.544080415,2.415963231,2.137593318,4.553556548
Oklahoma,2016,3926769,16938,52856,39265,7764,-4333,3431,13591,13.48952352,10.02092744,3.468596075,1.981471557,-1.105836715,0.875634842
Oklahoma,2017,3932640,5871,51758,39769,4406,-10472,-6066,11989,13.17096489,10.12009936,3.05086553,1.121203897,-2.664831414,-1.543627517
Oklahoma,2018,3943079,10439,50778,40050,4272,-4474,-202,10728,12.89482268,10.17049999,2.724322694,1.084853332,-1.136150236,-0.051296904
Oregon,2010,3837532,6457,11881,7799,1606,986,2592,4082,0,0,0,0,0,0
Oregon,2011,3871728,34196,45394,32516,10421,10918,21339,12878,11.77648698,8.435569692,3.340917287,2.703502022,2.832437873,5.535939896
Oregon,2012,3899118,27390,44912,32946,4418,11098,15516,11966,11.5591018,8.479385642,3.07971616,1.137070533,2.85631706,3.993387593
Oregon,2013,3922908,23790,44991,33414,3407,8870,12277,11577,11.50366925,8.54356659,2.960102664,0.871129807,2.267954619,3.139084427
Oregon,2014,3964106,41198,45474,33812,6943,22447,29390,11662,11.53136028,8.574094074,2.95726621,1.760615615,5.692141538,7.452757153
Oregon,2015,4016918,52812,45681,35357,5343,36822,42165,10324,11.44740324,8.860266552,2.587136688,1.338925932,9.227387363,10.5663133
Oregon,2016,4091404,74486,45598,35317,12755,51262,64017,10281,11.24720997,8.711296863,2.535913103,3.146150338,12.64429311,15.79044345
Oregon,2017,4146592,55188,45389,35933,8167,37490,45657,9456,11.01942754,8.723723585,2.295703955,1.982763769,9.101728139,11.08449191
