state,year,pop_estimate,pop_change,births,deaths,international_mig,domestic_mig,net_mig,natural_inc,r_birth,r_death,r_natural_inc,r_international_mig,r_domestic_mig,r_net_mig
Wisconsin,2010,5690479,3197,17550,11754,1173,-3451,-2278,5796,0,0,0,0,0,0
Wisconsin,2011,5704755,14276,67791,48483,4062,-8869,-4807,19308,11.89813215,8.509346978,3.388785171,0.712929634,-1.556615687,-0.843686053
Wisconsin,2012,5719855,15100,67653,47888,5819,-10190,-4371,19765,11.84338021,8.383305863,3.460074348,1.018678099,-1.783868333,-0.765190234
Wisconsin,2013,5736952,17097,66892,50041,7967,-7347,620,16851,11.67725004,8.735592735,2.941657305,1.3907889,-1.2825563,0.108232599
Wisconsin,2014,5751974,15022,67067,49317,7732,-9988,-2256,17750,11.67506867,8.585136679,3.089931992,1.345991784,-1.738717788,-0.392726004
Wisconsin,2015,5761406,9432,67152,51258,9022,-15112,-6090,15894,11.66503668,8.904075085,2.760961594,1.567220052,-2.625119643,-1.057899592
Wisconsin,2016,5772958,11552,66787,51360,7657,-11395,-3738,15427,11.58052581,8.905562543,2.674963266,1.327684821,-1.975834992,-0.648150171
Wisconsin,2017,5792051,19093,65705,50587,7483,-3318,4165,15118,11.36272354,8.748285453,2.614438087,1.294075949,-0.573799813,0.720276136
Wisconsin,2018,5813568,21517,64939,50283,8051,-1011,7040,14656,11.19095845,8.665285324,2.525673124,1.387431381,-0.17422595,1.213205431
Wyoming,2010,564483,710,1994,1291,171,-232,-61,703,0,0,0,0,0,0
Wyoming,2011,567224,2741,7471,4450,-237,-47,-284,3021,13.20306404,7.864226341,5.338837703,-0.418836324,-0.083060368,-0.501896692
Wyoming,2012,576270,9046,7437,4379,463,5345,5808,3058,13.00750157,7.658982032,5.348519538,0.80979874,9.348540526,10.15833927
Wyoming,2013,582123,5853,7515,4616,479,2387,2866,2899,12.97487122,7.969661419,5.005209804,0.82700776,4.121226561,4.948234321
Wyoming,2014,582548,425,7709,4535,-243,-2528,-2771,3174,13.23807324,7.787606972,5.450466269,-0.417285225,-4.341140116,-4.758425341
Wyoming,2015,585668,3120,7797,4838,776,-604,172,2959,13.34855883,8.28271484,5.065843988,1.328521438,-1.034055346,0.294466092
Wyoming,2016,584290,-1378,7582,4797,421,-4601,-4180,2785,12.96114903,8.20029437,4.760854663,0.719683955,-7.865239607,-7.145555652
Wyoming,2017,578934,-5356,7150,4621,622,-8546,-7924,2529,12.29341898,7.945159316,4.348259665,1.069441483,-14.69364456,-13.62420308
Wyoming,2018,577737,-1197,6840,4947,597,-3686,-3089,1893,11.82704503,8.553858444,3.273186585,1.03227279,-6.373463154,-5.341190364
