state,overall_rank,quality_of_life,economy,infrastructure,tech_innovation,education,access_to_capital,cost_of_living,year,interest_rate, purchase_price 
Iowa,16,13,13,32,26,17,32,13,2019,0,0
Kansas,19,35,32,3,31,21,28,8,2019,0,0
Kentucky,39,40,46,2,36,31,29,13,2019,0,0
Louisiana,46,47,49,42,42,37,33,18,2019,0,0
Maine,44,19,37,47,35,19,42,39,2019,0,0
Maryland,31,27,35,41,5,23,14,46,2019,0,0
Massachusetts,14,10,18,48,3,1,6,47,2019,0,0
Michigan,24,31,24,33,6,43,16,5,2019,0,0
Minnesota,7,3,23,9,7,3,17,31,2019,0,0
Mississippi,48,42,50,38,48,44,42,1,2019,0,0
Missouri,23,43,24,7,22,14,22,4,2019,0,0
Montana,33,7,40,29,39,34,40,33,2019,0,0
Nebraska,8,15,9,22,33,6,41,17,2019,0,0
Nevada,29,28,11,11,44,45,27,36,2019,0,0
New Hampshire,25,5,34,45,29,13,35,37,2019,0,0
New Jersey,36,11,40,39,15,4,12,41,2019,0,0
New Mexico,41,44,27,24,37,45,35,15,2019,0,0
New York,27,13,14,44,4,7,2,48,2019,0,0
North Carolina,3,35,1,17,9,21,6,19,2019,0,0
North Dakota,17,4,31,21,42,9,47,29,2019,0,0
Ohio,10,34,30,4,13,11,13,15,2019,0,0
Oklahoma,43,46,40,17,46,50,30,2,2019,0,0
Oregon,22,16,7,22,12,36,23,45,2019,0,0
Pennsylvania,28,32,39,24,13,9,6,28,2019,0,0
Rhode Island,50,28,48,50,27,25,39,41,2019,0,0
South Carolina,34,41,22,30,32,29,26,26,2019,0,0
South Dakota,21,21,8,37,47,27,45,27,2019,0,0
Tennessee,13,48,5,5,23,28,23,6,2019,0,0
Texas,2,37,4,8,10,39,3,12,2019,0,0
Utah,4,9,3,17,21,20,19,25,2019,0,0
Vermont,40,2,44,24,27,15,45,40,2019,0,0
Virginia,1,17,16,13,17,1,15,32,2019,0,0
Washington,5,5,5,39,2,11,9,38,2019,0,0
West Virginia,45,39,33,35,50,42,48,21,2019,0,0
Wisconsin,15,26,20,24,19,5,25,23,2019,0,0
Wyoming,26,12,27,15,49,15,48,10,2019,0,0
